16/12/2016 8:36:6;1;3.pbm
16/12/2016 8:36:9;2;5x3
16/12/2016 9:22:5;3;28x11
16/12/2016 9:22:17;2;5x3
16/12/2016 9:22:24;3;66x11
16/12/2016 9:22:29;1;1.pbm
16/12/2016 9:22:31;2;5x3
16/12/2016 9:23:25;2;5x3
16/12/2016 9:23:34;3;60x4
16/12/2016 9:23:59;2;5x3
16/12/2016 9:24:15;2;5x3
16/12/2016 9:24:21;1;1.pbm
16/12/2016 9:24:25;1;1.pbm
16/12/2016 9:24:29;1;1.pbm
16/12/2016 9:24:31;2;5x3
16/12/2016 9:24:33;2;5x3
16/12/2016 9:24:35;3;38x14
16/12/2016 9:42:25;2;5x3
16/12/2016 9:42:28;1;2.pbm
16/12/2016 10:1:51;2;5x3
16/12/2016 10:1:53;3;42x8
16/12/2016 10:37:15;3;16x4
16/12/2016 10:37:20;3;24x15
16/12/2016 10:37:22;3;33x13
16/12/2016 10:37:23;1;2.pbm
